Year,Type,Population,Population_M,Net_Migration,Natural_Increase,Low_Scenario,High_Scenario
2011,Historical,5367069,5.3671,22484,41748,,
2012,Historical,5445543,5.4455,36897,41158,,
2013,Historical,5512111,5.5121,28967,37462,,
2014,Historical,5595218,5.5952,44802,38421,,
2015,Historical,5688583,5.6886,55761,37691,,
2016,Historical,5791874,5.7919,66191,37120,,
2017,Historical,5876763,5.8768,49369,35512,,
2018,Historical,5951394,5.9514,41417,33205,,
2019,Historical,6027231,6.0272,45313,30494,,
2020,Historical,6087762,6.0878,34374,26133,,
2021,Historical,6160570,6.1606,21715,17361,,
2022,Historical,6253070,6.2531,73586,19917,,
2023,Historical,6336015,6.336,57017,25887,,
2024,Historical,6411149,6.4111,48363,26916,,
2025,Forecast,6482667,6.4827,47011,23242,6472667.0,6492667.0
2026,Forecast,6557378,6.5574,47011,23242,6537378.0,6577378.0
2027,Forecast,6632090,6.6321,47011,23242,6602090.0,6662090.0
2028,Forecast,6706801,6.7068,47011,23242,6666801.0,6746801.0
2029,Forecast,6781512,6.7815,47011,23242,6731512.0,6831512.0
2030,Forecast,6856223,6.8562,47011,23242,6796223.0,6916223.0
2031,Forecast,6930935,6.9309,47011,23242,6860935.0,7000935.0
2032,Forecast,7005646,7.0056,47011,23242,6925646.0,7085646.0
2033,Forecast,7080357,7.0804,47011,23242,6990357.0,7170357.0
2034,Forecast,7155069,7.1551,47011,23242,7055069.0,7255069.0
